category1,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,1.6,3.0,6166.0,1571.4,1.2,364372.6,14830.2,0.0,76.6,504.6,261386.6,354.0,0.0,0.2,1.0,197.8
Aquaculture,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.4,0.4,0.8,0.0,0.0,0.2,0.0
Beach and Dune,,,0.0,0.0,0.0,0.0,0.4,0.4,46.6,213.6,349.4,91.4,0.0,0.0,1.6,0.0
Forest Plantation,,,,44.2,2.4,2.4,5217.8,0.0,0.0,9.2,28.0,7.0,1.4,0.0,0.0,0.0
Grassland,,,,,0.0,0.0,1424.4,0.0,0.0,0.0,26.6,8.6,0.0,0.0,0.0,0.0
Mining,,,,,,51.4,4.6,0.0,0.0,0.0,1.8,13.6,12.6,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,,317921.8,38.8,38.8,2195.4,6905.8,648.4,516.4,103.8,10.6,10.6
Natural Forest,,,,,,,,14.8,14.8,767.2,767.2,727.2,691.2,21.2,5.0,5.0
Non Observed,,,,,,,,,0.6,0.6,4.8,4.8,0.0,0.0,2.6,0.0
Other Non Forest Natural Formation,,,,,,,,,,688.2,688.2,105.2,4.0,6.0,0.0,0.0
Other Non Vegetated Area,,,,,,,,,,,5829.6,689.6,248.8,9.6,2.6,2.6
Pasture,,,,,,,,,,,,142.8,142.8,3.0,1.8,4.6
"River, Lake and Ocean",,,,,,,,,,,,,3.2,3.2,2.0,2.0
Rocky outcrop,,,,,,,,,,,,,,0.0,0.0,0.0
Salt flat,,,,,,,,,,,,,,,10.2,1.2
Urban Infrastructure,,,,,,,,,,,,,,,,0.0
