category1,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Salt flat,Urban Infrastructure,Wetland
Agriculture,0.0,0.0,2501.3333333333335,0.0,0.0,2908.0,0.0,0.0,40813.666666666664,3.6666666666666665,0.0,0.0,0.0
Beach and Dune,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3333333333333333,10.333333333333334,0.3333333333333333,0.0
Forest Plantation,,,1433.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
Grassland,,,,8.333333333333334,0.0,0.0,30.0,30.0,51.0,61107.333333333336,1272.6666666666667,0.0,0.0
Mining,,,,,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Forest,,,,,,,96.33333333333333,79.33333333333333,106.0,184206.0,156.33333333333334,0.6666666666666666,0.0
Non Observed,,,,,,,,0.0,0.0,59.333333333333336,3.0,0.0,0.0
Other Non Vegetated Area,,,,,,,,,111.66666666666667,35.0,0.0,0.0,0.0
Pasture,,,,,,,,,,23712.666666666668,7.333333333333333,1.0,0.0
"River, Lake and Ocean",,,,,,,,,,,71.0,0.0,0.0
Salt flat,,,,,,,,,,,,1.0,0.0
Urban Infrastructure,,,,,,,,,,,,,0.0
