category1,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,1.8333333333333333,3.6666666666666665,6956.333333333333,1446.3333333333333,1.0,363460.1666666667,15545.333333333334,0.0,88.0,564.1666666666666,255807.83333333334,456.5,0.16666666666666666,0.16666666666666666,1.0,259.0
Aquaculture,,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,1.0,9.5,12.666666666666666,0.0,0.0,1.1666666666666667,0.0
Beach and Dune,,,0.0,0.0,0.0,0.0,0.5,0.5,43.5,218.5,356.3333333333333,110.66666666666667,0.0,0.0,1.3333333333333333,0.0
Forest Plantation,,,,41.833333333333336,3.0,3.0,4582.333333333333,0.0,0.0,7.666666666666667,24.833333333333332,7.5,1.1666666666666667,0.0,0.0,0.0
Grassland,,,,,0.0,0.0,1363.5,0.0,0.0,0.0,30.166666666666668,8.666666666666666,0.0,0.0,0.0,0.0
Mining,,,,,,50.666666666666664,4.166666666666667,0.0,0.0,0.0,2.1666666666666665,12.0,16.5,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,,307315.0,38.666666666666664,38.666666666666664,2215.1666666666665,6638.166666666667,1341.5,579.3333333333334,93.83333333333333,11.166666666666666,11.166666666666666
Natural Forest,,,,,,,,15.0,15.0,690.0,690.0,801.1666666666666,696.0,20.833333333333332,4.833333333333333,4.833333333333333
Non Observed,,,,,,,,,0.5,0.5,4.333333333333333,4.333333333333333,0.0,0.0,2.5,0.0
Other Non Forest Natural Formation,,,,,,,,,,642.3333333333334,642.3333333333334,99.16666666666667,5.666666666666667,7.333333333333333,0.16666666666666666,0.0
Other Non Vegetated Area,,,,,,,,,,,5519.333333333333,713.5,260.5,8.5,2.6666666666666665,2.6666666666666665
Pasture,,,,,,,,,,,,273.5,217.66666666666666,2.6666666666666665,1.6666666666666667,4.833333333333333
"River, Lake and Ocean",,,,,,,,,,,,,3.8333333333333335,3.8333333333333335,2.5,2.5
Rocky outcrop,,,,,,,,,,,,,,0.0,0.0,0.0
Salt flat,,,,,,,,,,,,,,,13.0,1.0
Urban Infrastructure,,,,,,,,,,,,,,,,0.0
