category1,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,0.0,2.6666666666666665,3653.6666666666665,1395.6666666666667,0.0,398535.3333333333,16334.0,0.0,20.333333333333332,390.0,292143.6666666667,313.6666666666667,0.0,0.0,0.3333333333333333,169.0
Aquaculture,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
Beach and Dune,,,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,45.666666666666664,213.0,341.6666666666667,67.66666666666667,0.0,0.0,2.0,0.0
Forest Plantation,,,,46.0,0.3333333333333333,0.3333333333333333,5967.0,0.0,0.0,6.333333333333333,26.666666666666668,8.333333333333334,2.0,0.0,0.0,0.0
Grassland,,,,,0.0,0.0,1685.6666666666667,0.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0
Mining,,,,,,11.0,3.6666666666666665,0.0,0.0,0.0,2.0,5.333333333333333,4.666666666666667,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,,350172.3333333333,38.0,38.0,2263.3333333333335,8225.0,542.6666666666666,410.3333333333333,98.33333333333333,7.0,7.0
Natural Forest,,,,,,,,14.333333333333334,14.333333333333334,879.0,879.0,699.3333333333334,668.0,23.0,4.666666666666667,4.666666666666667
Non Observed,,,,,,,,,0.6666666666666666,0.6666666666666666,4.333333333333333,4.333333333333333,0.0,0.0,2.6666666666666665,0.0
Other Non Forest Natural Formation,,,,,,,,,,596.6666666666666,596.6666666666666,97.0,3.6666666666666665,7.0,0.0,0.0
Other Non Vegetated Area,,,,,,,,,,,6962.0,713.6666666666666,252.66666666666666,4.666666666666667,2.0,2.0
Pasture,,,,,,,,,,,,150.66666666666666,150.66666666666666,4.0,2.0,3.3333333333333335
"River, Lake and Ocean",,,,,,,,,,,,,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.6666666666666667
Rocky outcrop,,,,,,,,,,,,,,0.0,0.0,0.0
Salt flat,,,,,,,,,,,,,,,8.333333333333334,0.3333333333333333
Urban Infrastructure,,,,,,,,,,,,,,,,0.0
