category1,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Salt flat,Urban Infrastructure,Wetland
Agriculture,0.0,13.2,6175.0,0.8,0.0,6403.6,2.8,0.0,74864.0,124.2,0.0,0.4,0.0
Beach and Dune,,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,3.8,8.0,0.8,0.0
Forest Plantation,,,903.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
Grassland,,,,29.6,0.0,0.0,29.6,25.0,40.8,56196.2,966.0,0.2,0.0
Mining,,,,,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Forest,,,,,,,95.6,77.4,93.4,168016.2,157.6,1.2,0.0
Non Observed,,,,,,,,0.0,0.0,56.2,2.8,0.0,0.0
Other Non Vegetated Area,,,,,,,,,134.2,22.0,0.0,0.0,0.0
Pasture,,,,,,,,,,27059.0,5.0,1.2,0.0
"River, Lake and Ocean",,,,,,,,,,,66.4,0.0,0.0
Salt flat,,,,,,,,,,,,1.4,0.0
Urban Infrastructure,,,,,,,,,,,,,0.0
