category1,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,0.0,2.0,5385.5,1698.75,0.0,382319.5,15609.0,0.0,63.25,440.75,270273.25,331.25,0.0,0.0,0.75,186.0
Aquaculture,,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0
Beach and Dune,,,0.0,0.0,0.0,0.0,0.5,0.5,47.5,234.0,330.5,92.0,0.0,0.0,2.0,0.0
Forest Plantation,,,,40.0,0.75,0.75,5657.25,0.0,0.0,5.75,29.25,8.0,1.75,0.0,0.0,0.0
Grassland,,,,,0.0,0.0,1581.5,0.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,0.0
Mining,,,,,,31.5,4.75,0.0,0.0,0.0,1.75,9.75,9.25,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,,334642.5,38.0,38.0,2208.25,7313.0,604.25,505.0,106.0,8.25,8.25
Natural Forest,,,,,,,,14.75,14.75,756.0,756.0,735.5,690.5,24.0,4.75,4.75
Non Observed,,,,,,,,,0.5,0.5,4.75,4.75,0.0,0.0,2.75,0.0
Other Non Forest Natural Formation,,,,,,,,,,630.25,630.25,111.25,4.0,6.5,0.0,0.0
Other Non Vegetated Area,,,,,,,,,,,6193.25,685.25,246.5,8.5,2.5,2.5
Pasture,,,,,,,,,,,,142.0,142.0,3.5,2.0,4.5
"River, Lake and Ocean",,,,,,,,,,,,,4.0,4.0,1.75,1.75
Rocky outcrop,,,,,,,,,,,,,,0.0,0.0,0.0
Salt flat,,,,,,,,,,,,,,,7.75,1.25
Urban Infrastructure,,,,,,,,,,,,,,,,0.0
