,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Salt flat,Urban Infrastructure,Wetland
Agriculture,261367.385678764,0.0,0.0,542.335966892,0.0,,1499.283374453,0.0,0.0,11910.138598685,5.201334784,0.0,22.32107208,
Beach and Dune,0.0,5410.796285,,2.233696448,,,0.0,1.786607184,0.0,0.08931500199999999,4.734637255999999,0.44667688,0.08931665,
Forest Plantation,0.0,,77904.71428719,1325.052347935,0.0,,1442.458382739,,,190.839213959,0.0,,0.178782227,
Grassland,1577.2661997970001,11.345028098999999,2270.4765531770004,14157249.256485002,1.238316395,,270376.477807508,15.575748346000001,27.550565812000002,66491.89529674,53939.578042409,1236.5299849799999,1210.6126074929998,0.0
Mining,0.0,,0.0,1.60044585,13447.864101910001,,0.5362455130000001,,,1.51344461,0.354799024,0.0,0.177824066,
Mosaic of Agriculture and Pasture,0.0,,,,,0.0,0.0,,,0.0,,,,
Natural Forest,11201.791089118,0.267977875,7319.894685020001,220139.506000334,31.600188088,,361878612.25627804,50.059789259999995,36.704073561,2486334.276438195,189128.550880885,16.345645978999997,539.501954988,
Non Observed,69.53659751,2.4122732119999997,0.0,20.421454495,,,52.59207235000001,7418.940215399999,0.0,36.984443318,57.056008644,0.71473147,0.08779317,
Other Non Vegetated Area,0.0,,0.0,138.00490969999998,,,12.50804686,0.0,837.814761909,167.79874465,42.800865175,0.0,8.63301795,
Pasture,21813.875502419007,0.0,1632.314291086,48518.82514387001,8.278575995,,875192.0958348489,11.404425977,318.68948808000005,30235098.242000002,23772.3001074,11.875936167,1999.3474761799996,0.0
"River, Lake and Ocean",3.44772832,21.528870028,17.431165946,124240.33261785,0.891382916,,118336.84924656598,60.410746721,53.235686253999994,47072.97917176,9750260.67666,9.287624884,3.1155989930000003,
Salt flat,0.0,1.161251117,,153.06260079999998,0.0,,20.448981512,0.715134644,0.0,0.7145162780000001,17.685943712,26829.753248,0.893614118,
Urban Infrastructure,0.0,0.26805232500000004,,0.53170542,0.261501239,,1.781577258,0.0,0.0,4.431670068,0.26625331999999996,1.25063064,195059.5300775,
Wetland,,,,0.0,,,,,,,,,,0.257921075
