,Agriculture,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Urban Infrastructure,Wetland
Agriculture,905.2623772000001,0.0,13.963758122999998,,,0.0,0.42915016500000003,,697.3035101,0.516280273,0.34430070799999996,8.338127051
Forest Plantation,0.0,26.520136110000003,0.0,,,0.0,0.0,,0.0,0.0,,0.0
Grassland,185.900821785,0.0,4024357.2150000003,0.0,,7359.9335593000005,40.92247205700001,0.0,24123.411988,340.44631683000006,7.997095197,404833.1567
Mining,,,0.33818637700000004,491.9076433999999,,0.8454775689999999,0.0,,0.253593317,0.0,,0.0
Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Forest,209.427701486,0.0,30413.953939,1.0989721190000001,,5119483.1509806,5.360317382,0.0,23133.235877,69.89252370899999,4.213518555,309.6236752
Non Observed,2.8958563360000005,,23.611769154,0.0,,0.255591309,190.89157960999998,,160.89585975,0.25575993,0.343918915,1.0193268
Other Non Vegetated Area,0.0,,0.0,,,0.0,0.0,18.45004014,4.655030804,,0.253909998,
Pasture,929.9303633000001,0.0,6362.846853999999,0.0,,960.64134036,3.511557691,0.0,1162024.3314,87.20220288,40.497168186,165.46347523
"River, Lake and Ocean",0.68675686,0.0,492.135542,0.0,,8.764284881000002,1.698593066,,92.66112552,483257.96900000004,0.17215069,5871.025995
Urban Infrastructure,,,0.0,,,,0.0,,0.0,,3863.5359689999996,
Wetland,0.0,0.0,1206038.8857,,,645.3506766200001,1.186667639,,663.7944090000001,350.9984204,0.0,2585055.9173999997
